_ Vote wisely | Vote wisely #DapatTama | wisely #DapatTama _ => 175
_ limang daan? | limang daan? :)) | daan? :)) _ => 3
_ limang daan? | limang daan? lol" | daan? lol" _ => 3
_ Nakalimutan ko | Nakalimutan ko sya | ko sya _ => 3
_ Done! :)) | Done! :)) #Halalan2013 | :)) #Halalan2013 _ => 12
_ Done. #Election2013 | Done. #Election2013 http://t.co/ToHVCSCnxl | #Election2013 http://t.co/ToHVCSCnxl _ => 3
_ Naku mga | Naku mga kababayan | mga kababayan _ => 3
_ Downloading halalan | Downloading halalan 2013…. | halalan 2013…. _ => 3
_ look at | look at all | at all _ => 3
_ Dun ka | Dun ka boboto? | ka boboto? _ => 12
_ Nanghihigop ng | Nanghihigop ng boto | ng boto _ => 3
_ Nangunguna pa | Nangunguna pa din! | pa din! _ => 4
_ Naniniwala pa | Naniniwala pa rin | pa rin _ => 4
_ Napa boto | Napa boto ko | boto ko _ => 3
_ Early vote | Early vote for | vote for _ => 3
_ Maaga pa | Maaga pa ako | pa ako _ => 3
_ Maayos ang | Maayos ang pila. | ang pila. _ => 3
_ Mabuti na | Mabuti na lang | na lang _ => 4
_ Eh maka | Eh maka boto | maka boto _ => 3
_ Eh si | Eh si Erap | si Erap _ => 3
_ Machinery of | Machinery of truth | of truth _ => 3
_ Ehem. Election | Ehem. Election tomorrow. | Election tomorrow. _ => 3
_ Election _ | Election _ #votewisely | _ #votewisely _ => 6
_ Madilim ang | Madilim ang election | ang election _ => 3
_ Never vote | Never vote for | vote for _ => 5
_ Mag vote | Mag vote na | vote na _ => 3
_ election almost | election almost over | almost over _ => 3
_ Mag-apply na | Mag-apply na lang | na lang _ => 4
_ Election day! | Election day! :3 | day! :3 _ => 3
_ Election day! | Election day! ? | day! ? _ => 3
_ Election Day. | Election Day. #juanvote | Day. #juanvote _ => 3
_ Election Day. | Election Day. Haha! | Day. Haha! _ => 3
_ Election Day. | Election Day. Philippines | Day. Philippines _ => 3
_ ni Nancy | ni Nancy Binay. | Nancy Binay. _ => 15
_ Election jingles. | Election jingles. Annoying. | jingles. Annoying. _ => 3
_ Nkaboto ka | Nkaboto ka na | ka na _ => 3
_ Nkakadisappoint ang | Nkakadisappoint ang eleksyon. | ang eleksyon. _ => 7
_ Makikiuso lang | Makikiuso lang ?? | lang ?? _ => 3
_ NO to | NO to @SayChiz | to @SayChiz _ => 3
_ Malabon City | Malabon City http://t.co/455IYAW0hD | City http://t.co/455IYAW0hD _ => 3
_ Malabon City | Malabon City http://t.co/8K2BvujRU9 | City http://t.co/8K2BvujRU9 _ => 3
_ Malabon City | Malabon City http://t.co/AxqOelcUU7 | City http://t.co/AxqOelcUU7 _ => 3
_ No vote | No vote for | vote for _ => 3
_ Malabon City | Malabon City http://t.co/L9UGfPsFCA | City http://t.co/L9UGfPsFCA _ => 3
_ Malabon City | Malabon City http://t.co/obXJgR8RW6 | City http://t.co/obXJgR8RW6 _ => 3
_ Malabon City | Malabon City http://t.co/qkD8kmHFph | City http://t.co/qkD8kmHFph _ => 3
_ Malabon City | Malabon City http://t.co/SivvoMarCN | City http://t.co/SivvoMarCN _ => 3
_ Malabon City | Malabon City http://t.co/t5H3DcrWiP | City http://t.co/t5H3DcrWiP _ => 3
_ Malabon City | Malabon City http://t.co/wZpoSGHaI6 | City http://t.co/wZpoSGHaI6 _ => 3
_ Malabon City | Malabon City http://t.co/ySqrTXgedk | City http://t.co/ySqrTXgedk _ => 3
_ No.31 sa | No.31 sa balota. | sa balota. _ => 5
_ Malayo pa | Malayo pa din | pa din _ => 4
_ Not bad. | Not bad. #3/12Senators | bad. #3/12Senators _ => 3
_ malinis, please! | malinis, please! #halalan2013 | please! #halalan2013 _ => 5
_ Masaya ang | Masaya ang eleksyon | ang eleksyon _ => 4
_ Managed to | Managed to vote | to vote _ => 15
_ Matapos ka | Matapos ka na | ka na _ => 3
_ Matuwa ka | Matuwa ka na | ka na _ => 3
_ Manyak Halalan | Manyak Halalan 2013 | Halalan 2013 _ => 6
_ Marami pa | Marami pa rin | pa rin _ => 4
_ Tinga for | Tinga for Mayor!!! | for Mayor!!! _ => 3
_ Mayor and | Mayor and Congressman. | and Congressman. _ => 3
_ to make | to make it! | make it! _ => 3
_ Mornings are | Mornings are great | are great _ => 3
_ Mayor Ismael | Mayor Ismael haha | Ismael haha _ => 3
_ Mayor Lim! | Mayor Lim! :( | Lim! :( _ => 5
_ Mayor Lim! | Mayor Lim! <//3 | Lim! <//3 _ => 3
_ Mayor: Malapitan | Mayor: Malapitan 169,583 | Malapitan 169,583 _ => 3
_ Tough _ | Tough _ Tangible | _ Tangible _ => 3
_ musta election | musta election ? | election ? _ => 3
_ Musta pagboto | Musta pagboto nyo? | pagboto nyo? _ => 3
_ Meneses mayor | Meneses mayor meneses! | mayor meneses! _ => 3
_ Meron na | Meron na ba? | na ba? _ => 7
_ Tsk! Tsk! | Tsk! Tsk! #juanvote | Tsk! #juanvote _ => 3
_ tssk... _ | tssk... _ #goodlucktous | _ #goodlucktous _ => 3
_ TUCP vote | TUCP vote partylist | vote partylist _ => 3
_ Tulog na | Tulog na kasi | na kasi _ => 3
_ Tuloy pa | Tuloy pa rin | pa rin _ => 4
_ TUMANG #Eleksyon2013 | TUMANG #Eleksyon2013 #Halalan2013 | #Eleksyon2013 #Halalan2013 _ => 49
_ Tumatakbo ka | Tumatakbo ka ba? | ka ba? _ => 9
_ midnight pa | midnight pa ako | pa ako _ => 3
_ My Senator... | My Senator... http://t.co/zQA6B9LXKO | Senator... http://t.co/zQA6B9LXKO _ => 3
_ Midterm Election | Midterm Election 2013 | Election 2013 _ => 5
_ Midterm Election | Midterm Election 2013. | Election 2013. _ => 3
_ Milk Tea | Milk Tea http://t.co/DPq1pwi5U9 | Tea http://t.co/DPq1pwi5U9 _ => 3
_ Monday ang | Monday ang election | ang election _ => 3
_ Moornig babyboy | Moornig babyboy @yoitsenriqueg!:* | babyboy @yoitsenriqueg!:* _ => 3
_ Nagkakagapangan! :) | Nagkakagapangan! :) #halalan2013 | :) #halalan2013 _ => 32
_ Nagkakagulo!™ #eleksyon2013 | Nagkakagulo!™ #eleksyon2013 http://t.co/Mo3yWNfkqm | #eleksyon2013 http://t.co/Mo3yWNfkqm _ => 3
_ Morning guys. | Morning guys. #Election2013 | guys. #Election2013 _ => 3
_ Hey vote | Hey vote for | vote for _ => 3
_ Nagpaputok na. | Nagpaputok na. #Eleksyon2013 | na. #Eleksyon2013 _ => 3
_ Hey, this | Hey, this #juanvote | this #juanvote _ => 3
_ ung PCOS | ung PCOS Machine? | PCOS Machine? _ => 4
_ Nagugutom na | Nagugutom na ako. | na ako. _ => 4
_ Nagvote ka | Nagvote ka ba? | ka ba? _ => 9
_ Nagvote ka | Nagvote ka na | ka na _ => 3
_ hindi kami | hindi kami tiga-Manila. | kami tiga-Manila. _ => 3
_ Up to | Up to vote! | to vote! _ => 12
_ usapang eleksyon | usapang eleksyon @@ | eleksyon @@ _ => 3
_ Usapang eleksyon! | Usapang eleksyon! #nganga | eleksyon! #nganga _ => 3
_ Naka-boto na | Naka-boto na ako! | na ako! _ => 3
_ Naka-boto na! | Naka-boto na! Haha | na! Haha _ => 4
_ Uwian na.. | Uwian na.. #elections2013 | na.. #elections2013 _ => 3
_ Nakaboto ka | Nakaboto ka na | ka na _ => 8
_ Nakaboto ka | Nakaboto ka na? | ka na? _ => 15
_ Nakaboto ka | Nakaboto ka ba? | ka ba? _ => 9
_ Nakaboto ka | Nakaboto ka din? | ka din? _ => 3
_ Nakaboto ka | Nakaboto ka na? | ka na? _ => 10
_ Hmm, God | Hmm, God bless | God bless _ => 3
_ Nakaboto na! | Nakaboto na! :D | na! :D _ => 4
_ nakaboto na... | nakaboto na... :-) | na... :-) _ => 3
_ Nakaboto naaaaa. | Nakaboto naaaaa. :) | naaaaa. :) _ => 3
_ hmmm.. this | hmmm.. this election | this election _ => 3
_ Vote ;;) | Vote ;;) http://t.co/bEQy36Mb6m | ;;) http://t.co/bEQy36Mb6m _ => 3
_ Vote brightly!!!!! | Vote brightly!!!!! Lezzzzzgooooo!!!!! | brightly!!!!! Lezzzzzgooooo!!!!! _ => 3
_ Vote buying | Vote buying yan. | buying yan. _ => 4
_ Vote buying | Vote buying ! | buying ! _ => 3
_ Vote buying | Vote buying @joybabe09 | buying @joybabe09 _ => 3
_ Opted to | Opted to vote | to vote _ => 16
_ Vote buying! | Vote buying! Grabe! | buying! Grabe! _ => 3
_ Vote buying! | Vote buying! Grabe! | buying! Grabe! _ => 3
_ Vote buying!!! | Vote buying!!! ???????? | buying!!! ???????? _ => 3
_ Vote buying..tsss! | Vote buying..tsss! :/ | buying..tsss! :/ _ => 3
_ organize my | organize my closet. | my closet. _ => 3
_ Hopless&Broken. #F! | Hopless&Broken. #F! #Election2013 | #F! #Election2013 _ => 3
_ Vote eisely | Vote eisely :) | eisely :) _ => 3
_ Out to | Out to vote | to vote _ => 20
_ OVER CONFIDENCE. | OVER CONFIDENCE. Dafuq" | CONFIDENCE. Dafuq" _ => 3
_ Vote or | Vote or Sleep? | or Sleep? _ => 3
_ Vote right! | Vote right! http://t.co/kPWvrgB79L | right! http://t.co/kPWvrgB79L _ => 3
_ Vote straight | Vote straight sana. | straight sana. _ => 3
_ Vote Visely! | Vote Visely! #DapatTama | Visely! #DapatTama _ => 3
_ Vote wise | Vote wise #Halalan2013 | wise #Halalan2013 _ => 3
_ Vote wise. | Vote wise. #halalan2013 | wise. #halalan2013 _ => 3
_ Vote wisely!!!! | Vote wisely!!!! #halalan2013 | wisely!!!! #halalan2013 _ => 3
_ Vote Wisely!!!… | Vote Wisely!!!… http://t.co/BVrHY8FGfN" | Wisely!!!… http://t.co/BVrHY8FGfN" _ => 3
_ vote wisely.... | vote wisely.... #mais | wisely.... #mais _ => 3
_ Vote wisely:) | Vote wisely:) http://t.co/dvxPdpKxUy | wisely:) http://t.co/dvxPdpKxUy _ => 3
_ vote wisely:-) | vote wisely:-) #dapattama | wisely:-) #dapattama _ => 3
_ Vote! Risa | Vote! Risa Hontiveros | Risa Hontiveros _ => 4
_ Pagnanalo si | Pagnanalo si Erap | si Erap _ => 3
_ vote. _ | vote. _ Vote | _ Vote _ => 19
_ Panay election! | Panay election! Enebeyen! | election! Enebeyen! _ => 3
_ Vote.., vote.., | Vote.., vote.., vote.., | vote.., vote.., _ => 3
_ Voted :) | Voted :) #31Villanueva | :) #31Villanueva _ => 3
_ Voted ?? | Voted ?? #Halalan2013 | ?? #Halalan2013 _ => 12
_ Voted! #DapatTama | Voted! #DapatTama http://t.co/eY72FNFNEP | #DapatTama http://t.co/eY72FNFNEP _ => 3
_ Voted! #Eleksyon2013 | Voted! #Eleksyon2013 #Halalan2013 | #Eleksyon2013 #Halalan2013 _ => 49
_ Voted! Good | Voted! Good Luck | Good Luck _ => 3
_ Pasay City | Pasay City http://t.co/FDdCPvau8Q | City http://t.co/FDdCPvau8Q _ => 3
_ Pasay City | Pasay City http://t.co/fvCdHhaNIn | City http://t.co/fvCdHhaNIn _ => 3
_ PASIG! Vote | PASIG! Vote Wisely | Vote Wisely _ => 25
_ Pasok Dick | Pasok Dick Gordon | Dick Gordon _ => 3
_ Voted!! #eleksyon2013 | Voted!! #eleksyon2013 http://t.co/HV3zJi1HuI | #eleksyon2013 http://t.co/HV3zJi1HuI _ => 3
_ Pasok na | Pasok na yan | na yan _ => 4
_ Voted. ? | Voted. ? #Election2013 | ? #Election2013 _ => 5
_ Pati ba | Pati ba naman | ba naman _ => 3
_ Iba na | Iba na mayor | na mayor _ => 3
_ Voters' Day | Voters' Day ?? | Day ?? _ => 3
_ Voters, Vote | Voters, Vote Wisely!! | Vote Wisely!! _ => 8
_ peaceful election | peaceful election today. | election today. _ => 4
_ Iboto sa | Iboto sa senado! | sa senado! _ => 4
_ peaceful election | peaceful election day. | election day. _ => 9
_ Voting DONE!!!!! | Voting DONE!!!!! #halalan2013 | DONE!!!!! #halalan2013 _ => 3
_ Iboto! hahahaha. | Iboto! hahahaha. http://t.co/vIPZAtv8dN | hahahaha. http://t.co/vIPZAtv8dN _ => 3
_ peaceful election | peaceful election to | election to _ => 3
_ peaceful election | peaceful election today!!! | election today!!! _ => 3
_ Peeneeshed!!! :-) | Peeneeshed!!! :-) #Eleksyon2013 | :-) #Eleksyon2013 _ => 4
_ Pera pa | Pera pa din | pa din _ => 4
_ Pero sa | Pero sa mayor | sa mayor _ => 5
_ perstaym voter | perstaym voter :) | voter :) _ => 4
_ Pffft...anyare sa | Pffft...anyare sa botohan | sa botohan _ => 3
_ philippine election.. | philippine election.. anyare..???????? | election.. anyare..???????? _ => 3
_ piktyur! piktyur!… | piktyur! piktyur!… http://t.co/sJsHCaXRcV" | piktyur!… http://t.co/sJsHCaXRcV" _ => 3
_ Pila ba | Pila ba to? | ba to? _ => 3
_ Imba ang | Imba ang #Eleksyon2013 | ang #Eleksyon2013 _ => 4
_ Wala rin | Wala rin kami. | rin kami. _ => 3
_ PILIPINAS, #VOTE | PILIPINAS, #VOTE RIGHT" | #VOTE RIGHT" _ => 3
_ Inaantok pa | Inaantok pa rin | pa rin _ => 4
_ Incumbent o | Incumbent o Mayor-Elect!? | o Mayor-Elect!? _ => 3
_ Init! Hahaha | Init! Hahaha #eleksyon2013 | Hahaha #eleksyon2013 _ => 5
_ Please mayor | Please mayor lim | mayor lim _ => 5
_ Inked! #Eleksyon2013 | Inked! #Eleksyon2013 http://t.co/vkl5qqslBi | #Eleksyon2013 http://t.co/vkl5qqslBi _ => 3
_ INKED! God | INKED! God bless | God bless _ => 3
_ Pleasw vote | Pleasw vote for | vote for _ => 3
_ plz. VOTE!!! | plz. VOTE!!! Gordon.Hagedorn.Anggara.Cayetano.Villanueva. | VOTE!!! Gordon.Hagedorn.Anggara.Cayetano.Villanueva. _ => 3
_ Ipanalangin na | Ipanalangin na lang | na lang _ => 4
_ We're done! | We're done! ?? | done! ?? _ => 3
_ Is @Devoted2Mariah | Is @Devoted2Mariah here? | @Devoted2Mariah here? _ => 3
_ Post Eleksyon | Post Eleksyon 2013 | Eleksyon 2013 _ => 5
_ Post-elections breakfast | Post-elections breakfast ? | breakfast ? _ => 3
_ It's a | It's a good | a good _ => 3
_ Kaya, VOTE | Kaya, VOTE WISELY.""" | VOTE WISELY.""" _ => 3
_ kakaboto lang. | kakaboto lang. :) | lang. :) _ => 3
_ Kakagising lang | Kakagising lang -.- | lang -.- _ => 3
_ kakainin pa | kakainin pa rin | pa rin _ => 4
_ kakayahan sa | kakayahan sa gobyerno." | sa gobyerno." _ => 3
_ Kamusta election | Kamusta election sainyo? | election sainyo? _ => 3
_ Kapag si | Kapag si Erap | si Erap _ => 4
_ Karma na | Karma na yan | na yan _ => 4
_ Kasaysayan ng | Kasaysayan ng Eleksyon | ng Eleksyon _ => 5
_ Kasaysayan ng | Kasaysayan ng Eleksyon | ng Eleksyon _ => 5
_ Kaya mo | Kaya mo yan | mo yan _ => 4
_ Joseph Estrada | Joseph Estrada 114K | Estrada 114K _ => 7
_ Joseph Estrada | Joseph Estrada 114K | Estrada 114K _ => 5
_ Judgement day. | Judgement day. #Halalan2013 | day. #Halalan2013 _ => 3
_ Judgment day | Judgment day #election2013 | day #election2013 _ => 3
_ Jun Magsaysay | Jun Magsaysay #Eleksyon2013 | Magsaysay #Eleksyon2013 _ => 3
_ JUN NPC | JUN NPC 69,130 | NPC 69,130 _ => 3
_ LadLad PartyList! | LadLad PartyList! #halalan2013 | PartyList! #halalan2013 _ => 3
_ Juskooo Mayor | Juskooo Mayor Lim!! | Mayor Lim!! _ => 4
_ Lahat na | Lahat na lang | na lang _ => 4
_ kabayan!Naka-boto ka | kabayan!Naka-boto ka na | ka na _ => 3
_ Ohmaygad Nancy | Ohmaygad Nancy Binay | Nancy Binay _ => 4
_ Omg ang | Omg ang init! | ang init! _ => 3
_ ""Vote Nancy | ""Vote Nancy Binay | Nancy Binay _ => 4
_ #Eleksyon2013 #Halalan2013 | #Eleksyon2013 #Halalan2013 #FirstTimeVoter | #Halalan2013 #FirstTimeVoter _ => 4
_ #Eleksyon2013 #Halalan2013 | #Eleksyon2013 #Halalan2013 #calixto | #Halalan2013 #calixto _ => 3
_ "#Halalan2013 daming | "#Halalan2013 daming aberya... | daming aberya... _ => 3
_ #Eleksyon2013 #Halalan2013 | #Eleksyon2013 #Halalan2013 http://t.co/4NaHKBf1O5 | #Halalan2013 http://t.co/4NaHKBf1O5 _ => 3
_ #Eleksyon2013 #Halalan2013 | #Eleksyon2013 #Halalan2013 http://t.co/g7RPDuqbPD | #Halalan2013 http://t.co/g7RPDuqbPD _ => 3
_ #Eleksyon2013 #Halalan2013 | #Eleksyon2013 #Halalan2013 http://t.co/HHtlZeAvKo | #Halalan2013 http://t.co/HHtlZeAvKo _ => 3
_ #Eleksyon2013 #Halalan2013 | #Eleksyon2013 #Halalan2013 http://t.co/wqjWBvfUbv | #Halalan2013 http://t.co/wqjWBvfUbv _ => 3
_ "#PhotoRequestGranted _ | "#PhotoRequestGranted _ #NoTag | _ #NoTag _ => 3
_ #Eleksyon2013 #Halalan2013 | #Eleksyon2013 #Halalan2013 http://t.co/zzU6eea0Qf | #Halalan2013 http://t.co/zzU6eea0Qf _ => 3
_ "#Pls,vote ""Vicky | "#Pls,vote ""Vicky Albay""4councilor!! | ""Vicky Albay""4councilor!! _ => 3
_ Handa ka | Handa ka na | ka na _ => 4
_ "#risahontiverosforsenator _ | "#risahontiverosforsenator _ @risahontiveros" | _ @risahontiveros" _ => 3
_ "#Wake up | "#Wake up guyz!!!. | up guyz!!!. _ => 3
_ #Eleksyon2013 damn | #Eleksyon2013 damn elections! | damn elections! _ => 3
_ #eleksyon2013 done | #eleksyon2013 done voting | done voting _ => 3
_ "1-Aalalay Partylist | "1-Aalalay Partylist 4R's | Partylist 4R's _ => 3
_ #Eleksyon2013 I | #Eleksyon2013 I would | I would _ => 3
_ "@_mushyhwang: vote | "@_mushyhwang: vote for | vote for _ => 3
_ #Eleksyon2013 vote | #Eleksyon2013 vote wisely! | vote wisely! _ => 72
_ Happy mothers | Happy mothers day | mothers day _ => 3
_ #FirstTime _ | #FirstTime _ #ProudCitizen | _ #ProudCitizen _ => 3
_ "@ABSCBN_Halalan: Nancy | "@ABSCBN_Halalan: Nancy Binay | Nancy Binay _ => 4
_ Election later! | Election later! ???? | later! ???? _ => 3
_ Hassle na | Hassle na election | na election _ => 5
_ "@ANCALERTS: Nancy | "@ANCALERTS: Nancy Binay | Nancy Binay _ => 4
_ Hehe... #Eleksyon2013 | Hehe... #Eleksyon2013 http://t.co/3ehTDivagm | #Eleksyon2013 http://t.co/3ehTDivagm _ => 3
_ hehehe! vote | hehehe! vote for | vote for _ => 3
_ here for | here for you. | for you. _ => 5
_ "@diannebmh: Vote | "@diannebmh: Vote wisely. | Vote wisely. _ => 41
_ "@faythesantiago: I | "@faythesantiago: I would | I would _ => 3
_ "@HEYNNAH01: God | "@HEYNNAH01: God bless | God bless _ => 3
_ "@james_rowel: Nancy | "@james_rowel: Nancy Binay | Nancy Binay _ => 4
